tags_id,tag
9362006,company and organization profiles
9362040,savings and loan associations
9362045,art shows
9362046,independence movements
9362047,life styles
9634119,suits and claims against government
10409601,presidential election of 1996
31464507,forecasts
31545210,threats and threatening messages
37017464,persian gulf war
